technology,month,day,hour,generation_mwh
Carbon,1,23,21,
Carbon,1,23,22,
Carbon,1,23,23,
Carbon,1,24,0,
Carbon,1,24,1,
Carbon,1,24,2,
Carbon,1,24,3,
Carbon,1,24,4,
Carbon,1,24,5,
Carbon,1,24,6,
Carbon,1,24,7,
Carbon,1,24,8,
Carbon,1,24,9,
Carbon,1,24,10,
Carbon,1,24,11,
Carbon,1,24,12,
Carbon,1,24,13,
Carbon,1,24,14,
Carbon,1,24,15,
Carbon,1,24,16,
Carbon,1,24,17,
Carbon,1,24,18,
Carbon,1,24,19,
Carbon,1,24,20,
Carbon,1,24,21,
Carbon,1,24,22,
Carbon,1,24,23,
Carbon,1,25,0,
Carbon,1,25,1,
Carbon,1,25,2,
Carbon,1,25,3,50.0
Carbon,1,25,4,110.0
Carbon,1,25,5,243.0
Carbon,1,25,6,250.0
Carbon,1,25,7,250.0
Carbon,1,25,8,250.0
Carbon,1,25,9,265.0
Carbon,1,25,10,285.0
Carbon,1,25,11,292.1
Carbon,1,25,12,315.0
Carbon,1,25,13,307.5
Carbon,1,25,14,270.0
Carbon,1,25,15,280.0
Carbon,1,25,16,280.0
Carbon,1,25,17,300.0
Carbon,1,25,18,280.0
Carbon,1,25,19,280.0
Carbon,1,25,20,254.6
Carbon,1,25,21,260.0
Carbon,1,25,22,250.0
Carbon,1,25,23,250.0
Carbon,1,26,0,270.0
Carbon,1,26,1,270.0
Carbon,1,26,2,270.0
Carbon,1,26,3,260.0
Carbon,1,26,4,265.0
Carbon,1,26,5,260.0
Carbon,1,26,6,265.0
Carbon,1,26,7,280.0
Carbon,1,26,8,280.0
Carbon,1,26,9,285.0
Carbon,1,26,10,275.0
Carbon,1,26,11,275.0
Carbon,1,26,12,270.0
Carbon,1,26,13,270.0
Carbon,1,26,14,290.0
Carbon,1,26,15,295.4
Carbon,1,26,16,273.5
Carbon,1,26,17,280.0
Carbon,1,26,18,275.0
Carbon,1,26,19,315.0
Carbon,1,26,20,285.0
Carbon,1,26,21,280.0
Carbon,1,26,22,262.4
Carbon,1,26,23,265.0
Carbon,1,27,0,275.0
Carbon,1,27,1,275.0
Carbon,1,27,2,260.0
Carbon,1,27,3,260.0
Carbon,1,27,4,280.0
Carbon,1,27,5,280.0
Carbon,1,27,6,290.0
Carbon,1,27,7,280.0
Carbon,1,27,8,270.0
Carbon,1,27,9,295.0
Carbon,1,27,10,295.0
Carbon,1,27,11,275.0
Carbon,1,27,12,295.0
Carbon,1,27,13,295.0
Carbon,1,27,14,295.0
Carbon,1,27,15,295.0
Carbon,1,27,16,295.0
Carbon,1,27,17,275.0
Carbon,1,27,18,295.0
Carbon,1,27,19,276.7
Carbon,1,27,20,285.0
Carbon,1,27,21,295.0
Carbon,1,27,22,295.0
Carbon,1,27,23,295.0
Carbon,1,28,0,271.0
Carbon,1,28,1,260.0
Carbon,1,28,2,268.1
Carbon,1,28,3,272.3
Carbon,1,28,4,260.0
Carbon,1,28,5,260.0
Carbon,1,28,6,260.0
Carbon,1,28,7,260.0
Carbon,1,28,8,273.0
Carbon,1,28,9,260.0
Carbon,1,28,10,271.0
Carbon,1,28,11,271.0
Carbon,1,28,12,280.0
Carbon,1,28,13,280.0
Carbon,1,28,14,270.0
Carbon,1,28,15,280.0
Carbon,1,28,16,270.0
Carbon,1,28,17,280.0
Carbon,1,28,18,285.7
Carbon,1,28,19,290.0
Carbon,1,28,20,260.0
Carbon,1,28,21,290.0
Carbon,1,28,22,290.0
Carbon,1,28,23,290.0
Carbon,1,29,0,261.0
Carbon,1,29,1,251.0
Carbon,1,29,2,250.0
Carbon,1,29,3,262.0
Carbon,1,29,4,262.0
Carbon,1,29,5,250.0
Carbon,1,29,6,258.0
Carbon,1,29,7,250.0
Carbon,1,29,8,250.0
Carbon,1,29,9,250.0
Carbon,1,29,10,250.0
Carbon,1,29,11,275.0
Carbon,1,29,12,275.0
Carbon,1,29,13,275.0
Carbon,1,29,14,275.0
Carbon,1,29,15,275.0
Carbon,1,29,16,280.0
Carbon,1,29,17,265.0
Carbon,1,29,18,265.0
Carbon,1,29,19,250.0
Carbon,1,29,20,265.0
Carbon,1,29,21,278.0
Carbon,1,29,22,263.0
Carbon,1,29,23,200.0
Carbon,1,30,0,75.0
Carbon,1,30,1,
Carbon,1,30,2,
Carbon,1,30,3,
Carbon,1,30,4,
Carbon,1,30,5,
Carbon,1,30,6,
Carbon,1,30,7,
Carbon,1,30,8,
Carbon,1,30,9,
Carbon,1,30,10,
Carbon,1,30,11,
Carbon,1,30,12,
Carbon,1,30,13,
Carbon,1,30,14,
Carbon,1,30,15,
Carbon,1,30,16,
Carbon,1,30,17,
Carbon,1,30,18,
Carbon,1,30,19,
Carbon,1,30,20,
Carbon,1,30,21,
Carbon,1,30,22,
Carbon,1,30,23,
Carbon,1,31,0,
Carbon,1,31,1,
Carbon,1,31,2,
Carbon,1,31,3,
Carbon,1,31,4,
Carbon,1,31,5,
Carbon,1,31,6,
Carbon,1,31,7,
Carbon,1,31,8,
Carbon,1,31,9,
Carbon,1,31,10,
Carbon,1,31,11,
Carbon,1,31,12,
Carbon,1,31,13,
Carbon,1,31,14,
Carbon,1,31,15,
Carbon,1,31,16,
Carbon,1,31,17,
Carbon,1,31,18,
Carbon,1,31,19,
Carbon,1,31,20,
Carbon,1,31,21,
Carbon,1,31,22,
Carbon,1,31,23,
Carbon,2,1,0,
Carbon,2,1,1,
Carbon,2,1,2,
Carbon,2,1,3,
Carbon,2,1,4,
Carbon,2,1,5,
Carbon,2,1,6,
Carbon,2,1,7,55.0
Carbon,2,1,8,175.0
Carbon,2,1,9,250.0
Carbon,2,1,10,250.0
Carbon,2,1,11,235.0
Carbon,2,1,12,220.0
Carbon,2,1,13,220.0
Carbon,2,1,14,220.0
Carbon,2,1,15,250.0
Carbon,2,1,16,250.0
Carbon,2,1,17,250.0
Carbon,2,1,18,250.0
Carbon,2,1,19,250.0
Carbon,2,1,20,250.0
Carbon,2,1,21,250.0
Carbon,2,1,22,250.0
Carbon,2,1,23,250.0
Carbon,2,2,0,265.0
Carbon,2,2,1,265.0
Carbon,2,2,2,265.0
Carbon,2,2,3,265.0
Carbon,2,2,4,265.0
Carbon,2,2,5,265.0
Carbon,2,2,6,265.0
Carbon,2,2,7,265.0
Carbon,2,2,8,265.0
Carbon,2,2,9,265.0
Carbon,2,2,10,265.0
Carbon,2,2,11,260.0
Carbon,2,2,12,265.0
Carbon,2,2,13,265.0
Carbon,2,2,14,265.0
Carbon,2,2,15,265.0
Carbon,2,2,16,265.0
Carbon,2,2,17,271.7
Carbon,2,2,18,265.0
Carbon,2,2,19,260.0
Carbon,2,2,20,260.0
Carbon,2,2,21,265.0
Carbon,2,2,22,265.0
Carbon,2,2,23,265.0
Carbon,2,3,0,285.0
Carbon,2,3,1,285.0
Carbon,2,3,2,285.0
Carbon,2,3,3,285.0
Carbon,2,3,4,265.0
Carbon,2,3,5,265.0
Carbon,2,3,6,260.0
Carbon,2,3,7,265.0
Carbon,2,3,8,285.0
Carbon,2,3,9,285.0
Carbon,2,3,10,265.0
Carbon,2,3,11,265.0
Carbon,2,3,12,256.0
Carbon,2,3,13,268.5
Carbon,2,3,14,267.0
Carbon,2,3,15,264.5
Carbon,2,3,16,265.0
Carbon,2,3,17,265.0
Carbon,2,3,18,261.0
Carbon,2,3,19,285.0
Carbon,2,3,20,250.0
Carbon,2,3,21,265.0
Carbon,2,3,22,285.0
Carbon,2,3,23,277.0
Carbon,2,4,0,270.0
Carbon,2,4,1,255.0
Carbon,2,4,2,255.0
Carbon,2,4,3,255.0
Carbon,2,4,4,255.0
Carbon,2,4,5,255.0
Carbon,2,4,6,270.0
Carbon,2,4,7,277.5
Carbon,2,4,8,255.0
Carbon,2,4,9,255.0
Carbon,2,4,10,255.0
Carbon,2,4,11,300.0
Carbon,2,4,12,300.0
Carbon,2,4,13,255.0
Carbon,2,4,14,255.0
Carbon,2,4,15,255.0
Carbon,2,4,16,255.0
Carbon,2,4,17,255.0
Carbon,2,4,18,275.0
Carbon,2,4,19,275.0
Carbon,2,4,20,275.0
Carbon,2,4,21,270.0
Carbon,2,4,22,270.0
Carbon,2,4,23,270.0
Carbon,2,5,0,255.0
Carbon,2,5,1,255.0
Carbon,2,5,2,255.0
Carbon,2,5,3,255.0
Carbon,2,5,4,255.0
Carbon,2,5,5,255.0
Carbon,2,5,6,255.0
Carbon,2,5,7,255.0
Carbon,2,5,8,255.0
Carbon,2,5,9,255.0
Carbon,2,5,10,300.0
Carbon,2,5,11,300.0
Carbon,2,5,12,300.0
Carbon,2,5,13,327.5
Carbon,2,5,14,310.0
Carbon,2,5,15,295.0
Carbon,2,5,16,305.0
Carbon,2,5,17,265.0
Carbon,2,5,18,285.0
Carbon,2,5,19,265.0
Carbon,2,5,20,265.0
Carbon,2,5,21,265.0
Carbon,2,5,22,265.0
Carbon,2,5,23,265.0
Carbon,2,6,0,270.0
Carbon,2,6,1,270.0
Carbon,2,6,2,270.0
Carbon,2,6,3,270.0
Carbon,2,6,4,270.0
Carbon,2,6,5,270.0
Carbon,2,6,6,270.0
Carbon,2,6,7,270.0
Carbon,2,6,8,270.0
Carbon,2,6,9,279.0
Carbon,2,6,10,295.2
Carbon,2,6,11,270.0
Carbon,2,6,12,285.0
Carbon,2,6,13,285.0
Carbon,2,6,14,285.0
Carbon,2,6,15,285.0
Carbon,2,6,16,285.0
Carbon,2,6,17,285.0
Carbon,2,6,18,285.0
Carbon,2,6,19,285.0
Carbon,2,6,20,285.0
Carbon,2,6,21,285.0
Carbon,2,6,22,265.0
Carbon,2,6,23,115.0
Carbon,2,7,0,
Carbon,2,7,1,
Carbon,2,7,2,
Carbon,2,7,3,
Carbon,2,7,4,
Carbon,2,7,5,
Carbon,2,7,6,
